,0,1
1231,torn,3
1232,car-tracks,1
1233,acetylene,1
1234,flares,2
1235,line,23
1236,bright,14
1237,seat,9
1238,touch,5
1239,please,19
1240,turn,14
1241,jelly,1
1242,calm,2
1243,wonder,10
1244,own,27
1245,else's,1
1246,world,15
1247,earth,5
1248,afraid,10
1249,damn,22
1250,gets,11
1251,fault,6
1252,pay,19
1253,depths,1
1254,sometimes,13
1255,perfectly,7
1256,flat,14
1257,paying,2
1258,besides,3
1259,funny,27
1260,lay,22
1261,shut,22
1262,brother,13
1263,mons,1
1264,subject,3
1265,considered,1
1266,various,1
1267,angles,1
1268,including,3
1269,injuries,1
1270,imperfections,1
1271,merriment,1
1272,remaining,1
1273,person,6
1274,possessing,1
1275,enjoyable,1
1276,strangers,1
1277,pool,3
1278,trout,16
1279,park,7
1280,select,11
1281,montparnasse,6
1282,drove,14
1283,straight,16
1284,turning,1
1285,lion,1
1286,belfort,1
1287,guards,1
1288,passing,2
1289,montrouge,1
1290,trams,3
1291,ahead,34
1292,raspail,5
1293,kiss,1
1294,putting,11
1295,shaky,2
1296,mess,2
1297,inside,35
1298,greek,3
1299,portrait-painter,1
1300,duke,3
1301,whom,3
1302,zizi,7
1303,pushed,4
1304,meet,14
1305,fat,5
1306,count,67
1307,mippipopolous,3
1308,ashley,16
1309,ladyship,2
1310,elk,1
1311,tooth,1
1312,watch-chain,2
1313,doings,1
1314,london,3
1315,enormous,3
1316,yours,4
1317,frightful,3
1318,corking,1
1319,yellow,12
1320,card,5
1321,demanded,2
1322,patronne's,1
1323,bad-looking,1
1324,command,1
1325,idiom,1
1326,braddock,1
1327,dare,2
1328,buying,4
1329,champagne,9
1330,sir,18
1331,headache,4
1332,hardly,6
1333,o'clock,21
1334,crillon,6
1335,try,28
1336,mike,250
1337,letter,12
1338,to-day,9
1339,sidewalk,4
1340,michel,3
1341,rotonde,5
1342,crowded,19
1343,dome,3
1344,running,23
1345,pavement,4
1346,waved,22
1347,stacking,1
1348,closerie,3
1349,lilas,5
1350,ney,2
1351,statue,4
1352,new-leaved,1
1353,chestnut-trees,1
1354,arc-light,3
1355,faded,1
1356,wreath,4
1357,base,2
1358,inscription,1
1359,bonapartist,1
1360,groups,1
1361,forget,7
1362,marshal,1
1363,top-boots,1
1364,sword,13
1365,horse-chestnut,2
1366,leaves,6
1367,concierge,16
1368,knocked,19
1369,wished,6
1370,letters,14
1371,gas-light,2
1372,dining-room,13
1373,states,6
1374,bank,7
1375,statement,3
1376,2432.60,1
1377,check-book,1
1378,deducted,1
1379,checks,2
1380,drawn,3
1381,1832.60,1
1382,wedding,1
1383,announcement,2
1384,aloysius,2
1385,kirby,1
1386,announce,1
1387,marriage,1
1388,katherine,1
1389,nor,10
1390,marrying,1
1391,circularizing,1
1392,catholic,5
1393,crest,3
1394,lit,6
1395,lamp,2
1396,bed,56
1397,gas,2
1398,wide,3
1399,undressed,5
1400,street-car,1
1401,tracks,3
1402,vegetables,3
1403,markets,1
1404,noisy,4
1405,undressing,2
